config,file,group,route,route_mode,effective_route,effective_mode,confidence,difficulty_score,latency_sec,ingestion_success,timeout_rate,fallback_rate,p95_latency_sec
A_single_pipeline,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,table_aware,single,text_only,single,0.8,1.2473474174416945,39.22612675697525,0.6052496133326537,0.3947503866673463,0.07737004640008155,42.80049572376276
B_rule_single_route,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,table_aware,single,table_aware,single,0.8,1.2473474174416945,41.72612675697525,0.5596858819259924,0.4403141180740075,0.0828376941688809,46.25049572376276
C_rule_multi_route,(사)벤처기업협회_2024년 벤처확인종합관리시스템 기능 고도화 용역사업 .hwp,extreme,table_aware,single,table_aware,single,0.8,1.2473474174416945,41.72612675697525,0.5596858819259924,0.4403141180740075,0.0828376941688809,46.25049572376276
A_single_pipeline,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,text+table,multi,text_only,single,0.55,-0.07439379420685444,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,text+table,multi,table_aware,single,0.55,-0.07439379420685444,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,(사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,central,text+table,multi,text+table,multi,0.55,-0.07439379420685444,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,text_only,single,text_only,single,0.0,-1.0136675305728793,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,text_only,single,text_only,single,0.0,-1.0136675305728793,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,(사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp,central,text_only,single,text_only,single,0.0,-1.0136675305728793,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,text+table,multi,text_only,single,0.55,-0.2432596172005888,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,text+table,multi,table_aware,single,0.55,-0.2432596172005888,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,central,text+table,multi,text+table,multi,0.55,-0.2432596172005888,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,text+table,multi,text_only,single,0.55,-0.2812205541923858,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,text+table,multi,table_aware,single,0.55,-0.2812205541923858,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경.hwp,central,text+table,multi,text+table,multi,0.55,-0.2812205541923858,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,text+table,multi,text_only,single,0.55,0.2742538397633567,30.46828455787021,0.786368264852713,0.2136317351472869,0.06813580821767443,30.859751586931953
B_rule_single_route,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,text+table,multi,table_aware,single,0.55,0.2742538397633567,32.96828455787021,0.7531849499563699,0.24681505004363014,0.07211780600523562,33.35975158693196
C_rule_multi_route,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차).hwp,central,text+table,multi,text+table,multi,0.55,0.2742538397633567,35.96828455787021,0.709028736274876,0.29097126372512405,0.15741655164701487,36.35975158693196
A_single_pipeline,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,image_aware,single,text_only,single,0.8,1.466723558099582,41.20051202289624,0.5572352217952496,0.4427647782047504,0.08313177338457005,42.80049572376276
B_rule_single_route,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,image_aware,single,image_aware,single,0.8,1.466723558099582,44.70051202289624,0.4918629179062154,0.5081370820937846,0.09097644985125415,46.25049572376276
C_rule_multi_route,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,extreme,image_aware,single,image_aware,single,0.8,1.466723558099582,44.70051202289624,0.4918629179062154,0.5081370820937846,0.09097644985125415,46.25049572376276
A_single_pipeline,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,text+table,multi,text_only,single,0.55,-0.0038925912608973046,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,text+table,multi,table_aware,single,0.55,-0.0038925912608973046,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp,central,text+table,multi,text+table,multi,0.55,-0.0038925912608973046,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,text+table,multi,text_only,single,0.55,0.14500845097982332,29.30507605881841,0.8052588274864677,0.19474117251353232,0.06586894070162388,30.859751586931953
B_rule_single_route,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,text+table,multi,table_aware,single,0.55,0.14500845097982332,31.80507605881841,0.7741670995841595,0.22583290041584045,0.06959994804990086,33.35975158693196
C_rule_multi_route,경기도사회서비스원_2024년 통합사회정보시스템 운영지원.hwp,central,text+table,multi,text+table,multi,0.55,0.14500845097982332,34.80507605881841,0.7324311435749145,0.2675688564250856,0.15460826277101028,36.35975158693196
A_single_pipeline,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,text+table,multi,text_only,single,0.55,0.3434069658937997,31.090662693044198,0.7757265017912307,0.22427349820876935,0.06941281978505232,30.859751586931953
B_rule_single_route,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,text+table,multi,table_aware,single,0.55,0.3434069658937997,33.590662693044194,0.7414337243893607,0.2585662756106393,0.07352795307327671,33.35975158693196
C_rule_multi_route,경기도평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,central,text+table,multi,text+table,multi,0.55,0.3434069658937997,36.590662693044194,0.696023648599529,0.303976351400471,0.15897716216805652,36.35975158693196
A_single_pipeline,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,central,text+table,multi,text_only,single,0.55,0.0864103307520005,28.777692976768005,0.8133962050438888,0.18660379495611124,0.06489245539473334,30.859751586931953
B_rule_single_route,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,central,text+table,multi,table_aware,single,0.55,0.0864103307520005,31.277692976768005,0.7832539705670287,0.21674602943297128,0.06850952353195655,33.35975158693196
C_rule_multi_route,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).hwp,central,text+table,multi,text+table,multi,0.55,0.0864103307520005,34.277692976768,0.7426390788034385,0.25736092119656145,0.15338331054358736,36.35975158693196
A_single_pipeline,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,central,text_only,single,text_only,single,0.0,-0.47123022447495,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,central,text_only,single,text_only,single,0.0,-0.47123022447495,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,central,text_only,single,text_only,single,0.0,-0.47123022447495,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,고양도시관리공사_관산근린공원 다목적구장 홈페이지 및 회원 통합운영.hwp,central,text+table,multi,text_only,single,0.55,0.26568444993735846,30.391160049436227,0.7876610426413672,0.21233895735863287,0.06798067488303594,30.859751586931953
B_rule_single_route,고양도시관리공사_관산근린공원 다목적구장 홈페이지 및 회원 통합운영.hwp,central,text+table,multi,table_aware,single,0.55,0.26568444993735846,32.89116004943622,0.7546158731472511,0.2453841268527489,0.07194609522232986,33.35975158693196
C_rule_multi_route,고양도시관리공사_관산근린공원 다목적구장 홈페이지 및 회원 통합운영.hwp,central,text+table,multi,text+table,multi,0.55,0.26568444993735846,35.89116004943622,0.7106172999383369,0.28938270006166306,0.15722592400739957,36.35975158693196
A_single_pipeline,광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,central,text+table,multi,text_only,single,0.55,-0.05480544138233828,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,central,text+table,multi,table_aware,single,0.55,-0.05480544138233828,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,central,text+table,multi,text+table,multi,0.55,-0.05480544138233828,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,광주과학기술원_학사시스템 기능개선 사업.hwp,central,text+table,multi,text_only,single,0.55,-0.27947505221861363,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,광주과학기술원_학사시스템 기능개선 사업.hwp,central,text+table,multi,table_aware,single,0.55,-0.27947505221861363,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,광주과학기술원_학사시스템 기능개선 사업.hwp,central,text+table,multi,text+table,multi,0.55,-0.27947505221861363,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,국가과학기술지식정보서비스_통합정보시스템 고도화 용역.hwp,central,text+table,multi,text_only,single,0.55,0.13588969052340805,29.223007214710673,0.8065425835731901,0.19345741642680991,0.06571488997121719,30.859751586931953
B_rule_single_route,국가과학기술지식정보서비스_통합정보시스템 고도화 용역.hwp,central,text+table,multi,table_aware,single,0.55,0.13588969052340805,31.723007214710673,0.7755986996765707,0.22440130032342936,0.06942815603881153,33.35975158693196
C_rule_multi_route,국가과학기술지식정보서비스_통합정보시스템 고도화 용역.hwp,central,text+table,multi,text+table,multi,0.55,0.13588969052340805,34.72300721471067,0.7340364228759279,0.26596357712407215,0.15441562925488866,36.35975158693196
A_single_pipeline,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,central,text+table,multi,text_only,single,0.55,-0.14613321995636425,28.0,0.8249137318359602,0.17508626816403985,0.06351035217968479,30.859751586931953
B_rule_single_route,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,central,text+table,multi,table_aware,single,0.55,-0.14613321995636425,30.5,0.796165712800213,0.203834287199787,0.06696011446397443,33.35975158693196
C_rule_multi_route,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp,central,text+table,multi,text+table,multi,0.55,-0.14613321995636425,33.5,0.7572203403540398,0.2427796596459601,0.15163355915751522,36.35975158693196
A_single_pipeline,국립인천해양박물관_국립인천해양박물관 해양자료관리시스템 구축 용.hwp,central,text_only,single,text_only,single,0.0,-0.9416628712180548,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,국립인천해양박물관_국립인천해양박물관 해양자료관리시스템 구축 용.hwp,central,text_only,single,text_only,single,0.0,-0.9416628712180548,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,국립인천해양박물관_국립인천해양박물관 해양자료관리시스템 구축 용.hwp,central,text_only,single,text_only,single,0.0,-0.9416628712180548,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,extreme,table_aware,single,text_only,single,0.8,1.0515597319059897,37.46403758715391,0.6464786379204701,0.3535213620795299,0.07242256344954358,42.80049572376276
B_rule_single_route,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,extreme,table_aware,single,table_aware,single,0.8,1.0515597319059897,39.96403758715391,0.6025487383596204,0.3974512616403796,0.07769415139684555,46.25049572376276
C_rule_multi_route,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,extreme,table_aware,single,table_aware,single,0.8,1.0515597319059897,39.96403758715391,0.6025487383596204,0.3974512616403796,0.07769415139684555,46.25049572376276
A_single_pipeline,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,central,text_only,single,text_only,single,0.0,-0.13979692647379022,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,central,text_only,single,text_only,single,0.0,-0.13979692647379022,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,국민연금공단_2024년 이러닝시스템 운영 용역.hwp,central,text_only,single,text_only,single,0.0,-0.13979692647379022,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,central,text_only,single,text_only,single,0.0,-0.9054572372228599,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,central,text_only,single,text_only,single,0.0,-0.9054572372228599,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보.hwp,central,text_only,single,text_only,single,0.0,-0.9054572372228599,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,central,text_only,single,text_only,single,0.0,-0.8164042533755973,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,central,text_only,single,text_only,single,0.0,-0.8164042533755973,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp,central,text_only,single,text_only,single,0.0,-0.8164042533755973,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,국방과학연구소_대용량 자료전송시스템 고도화.hwp,central,text_only,single,text_only,single,0.0,-0.11330883849519327,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,국방과학연구소_대용량 자료전송시스템 고도화.hwp,central,text_only,single,text_only,single,0.0,-0.11330883849519327,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,국방과학연구소_대용량 자료전송시스템 고도화.hwp,central,text_only,single,text_only,single,0.0,-0.11330883849519327,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,central,text_only,single,text_only,single,0.0,-0.4564860376517914,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,central,text_only,single,text_only,single,0.0,-0.4564860376517914,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,central,text_only,single,text_only,single,0.0,-0.4564860376517914,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스.hwp,central,text+table,multi,text_only,single,0.55,0.07495134514981716,28.674562106348354,0.8149564976407586,0.18504350235924144,0.06470522028310896,30.859751586931953
B_rule_single_route,나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스.hwp,central,text+table,multi,table_aware,single,0.55,0.07495134514981716,31.174562106348354,0.7849996792784522,0.2150003207215478,0.06830003848658572,33.35975158693196
C_rule_multi_route,나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스.hwp,central,text+table,multi,text+table,multi,0.55,0.07495134514981716,34.174562106348354,0.7446052432647059,0.2553947567352941,0.1531473708082353,36.35975158693196
A_single_pipeline,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,central,text+table,multi,text_only,single,0.55,0.05512914544262976,28.496162308983667,0.8176317070178418,0.18236829298215818,0.06438419515785898,30.859751586931953
B_rule_single_route,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,central,text+table,multi,table_aware,single,0.55,0.05512914544262976,30.996162308983667,0.7879953146955081,0.2120046853044919,0.06794056223653902,33.35975158693196
C_rule_multi_route,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,central,text+table,multi,text+table,multi,0.55,0.05512914544262976,33.99616230898367,0.7479830121041879,0.252016987895812,0.15274203854749743,36.35975158693196
A_single_pipeline,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,central,text+table,multi,text_only,single,0.55,0.00105416835884313,28.009487515229587,0.8247766603976215,0.1752233396023785,0.06352680075228542,30.859751586931953
B_rule_single_route,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,central,text+table,multi,table_aware,single,0.55,0.00105416835884313,30.509487515229587,0.7960117005693775,0.20398829943062247,0.06697859593167468,33.35975158693196
C_rule_multi_route,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교.hwp,central,text+table,multi,text+table,multi,0.55,0.00105416835884313,33.50948751522959,0.7570458814979635,0.24295411850203658,0.15165449422024438,36.35975158693196
A_single_pipeline,대전대학교_대전대학교 2024학년도 다층적 융합 학습경험 플랫폼(MILE) 전.hwp,central,text_only,single,text_only,single,0.0,-1.1748099047933775,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,대전대학교_대전대학교 2024학년도 다층적 융합 학습경험 플랫폼(MILE) 전.hwp,central,text_only,single,text_only,single,0.0,-1.1748099047933775,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,대전대학교_대전대학교 2024학년도 다층적 융합 학습경험 플랫폼(MILE) 전.hwp,central,text_only,single,text_only,single,0.0,-1.1748099047933775,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,대한상공회의소_기업 재생에너지 지원센터 홈페이지 개편 및 시스템 고.hwp,central,text_only,single,text_only,single,0.0,-1.0836715403580865,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,대한상공회의소_기업 재생에너지 지원센터 홈페이지 개편 및 시스템 고.hwp,central,text_only,single,text_only,single,0.0,-1.0836715403580865,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,대한상공회의소_기업 재생에너지 지원센터 홈페이지 개편 및 시스템 고.hwp,central,text_only,single,text_only,single,0.0,-1.0836715403580865,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,"대한장애인체육회_2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 .hwp",central,text_only,single,text_only,single,0.0,-1.063089119128234,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,"대한장애인체육회_2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 .hwp",central,text_only,single,text_only,single,0.0,-1.063089119128234,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,"대한장애인체육회_2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 .hwp",central,text_only,single,text_only,single,0.0,-1.063089119128234,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,대한적십자사 의료원_적십자병원 병원정보 재해복구시스템 구축 용역 .hwp,central,text_only,single,text_only,single,0.0,-0.882386350200647,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,대한적십자사 의료원_적십자병원 병원정보 재해복구시스템 구축 용역 .hwp,central,text_only,single,text_only,single,0.0,-0.882386350200647,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,대한적십자사 의료원_적십자병원 병원정보 재해복구시스템 구축 용역 .hwp,central,text_only,single,text_only,single,0.0,-0.882386350200647,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,문화체육관광부 국립민속박물관_2024년 국립민속박물관 민속아카이브 자.hwp,central,text_only,single,text_only,single,0.0,-0.9491015337013984,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,30.859751586931953
B_rule_single_route,문화체육관광부 국립민속박물관_2024년 국립민속박물관 민속아카이브 자.hwp,central,text_only,single,text_only,single,0.0,-0.9491015337013984,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,33.35975158693196
C_rule_multi_route,문화체육관광부 국립민속박물관_2024년 국립민속박물관 민속아카이브 자.hwp,central,text_only,single,text_only,single,0.0,-0.9491015337013984,28.0,0.8249137318359602,0.17508626816403985,0.09101035217968478,36.35975158693196
A_single_pipeline,부산관광공사_경영정보시스템 기능개선.hwp,central,text+table,multi,text_only,single,0.55,0.3192818662964354,30.87353679666792,0.7794813206968432,0.2205186793031568,0.06896224151637881,30.859751586931953
B_rule_single_route,부산관광공사_경영정보시스템 기능개선.hwp,central,text+table,multi,table_aware,single,0.55,0.3192818662964354,33.37353679666792,0.7455743711000974,0.2544256288999026,0.07303107546798832,33.35975158693196
C_rule_multi_route,부산관광공사_경영정보시스템 기능개선.hwp,central,text+table,multi,text+table,multi,0.55,0.3192818662964354,36.37353679666792,0.7005978356022846,0.29940216439771533,0.15842825972772584,36.35975158693196
